"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-06-22T10:33:42.775+08:00[Asia/Manila]","0.0","4.07"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-06-22T10:33:47.809+08:00[Asia/Manila]","0.0","0.38"
